Round Number,Date,Location,Team_1,Team_2,Group ,Result
1,05-10-2023,Ahmedabad,England,New Zealand,Group A,
1,06-10-2023,Hyderabad,Pakistan,Netherlands,Group A,
1,07-10-2023,Dharamsala,Bangladesh,Afghanistan,Group A,
1,07-10-2023,Delhi,South Africa,Sri Lanka,Group A,
1,08-10-2023,Chennai,India,Australia,Group A,
1,09-10-2023,Hyderabad,New Zealand,Netherlands,Group A,
1,10-10-2023,Dharamsala,England,Bangladesh,Group A,
1,11-10-2023,Delhi,India,Afghanistan,Group A,
1,12-10-2023,Hyderabad,Pakistan,Sri Lanka,Group A,
1,13-10-2023,Lucknow,Australia,South Africa,Group A,
1,14-10-2023,Chennai,New Zealand,Bangladesh,Group A,
1,14-10-2023,Delhi,England,Afghanistan,Group A,
1,15-10-2023,Ahmedabad,India,Pakistan,Group A,
1,16-10-2023,Lucknow,Australia,Sri Lanka,Group A,
1,17-10-2023,Dharamsala,South Africa,Netherlands,Group A,
1,18-10-2023,Chennai,New Zealand,Afghanistan,Group A,
1,19-10-2023,Pune,India,Bangladesh,Group A,
1,20-10-2023,Bengaluru,Australia,Pakistan,Group A,
1,21-10-2023,Lucknow,Netherlands,Sri Lanka,Group A,
1,21-10-2023,Mumbai,England,South Africa,Group A,
1,22-10-2023,Dharamsala,India,New Zealand,Group A,
1,23-10-2023,Chennai,Pakistan,Afghanistan,Group A,
1,24-10-2023,Mumbai,South Africa,Bangladesh,Group A,
1,25-10-2023,Delhi,Australia,Netherlands,Group A,
1,26-10-2023,Bengaluru,England,Afghanistan,Group A,
1,27-10-2023,Lucknow,Pakistan,South Africa,Group A,
1,28-10-2023,Dharamsala,Australia,New Zealand,Group A,
1,28-10-2023,Kolkata,Netherlands,Bangladesh,Group A,
1,29-10-2023,Lucknow,India,England,Group A,
1,30-10-2023,Pune,Afghanistan,Sri Lanka,Group A,
1,31-10-2023,Kolkata,Pakistan,Bangladesh,Group A,
1,01-11-2023,Pune,New Zealand,South Africa,Group A,
1,02-11-2023,Mumbai,India,Sri Lanka,Group A,
1,03-11-2023,Lucknow,Netherlands,Afghanistan,Group A,
1,04-11-2023,Bengaluru,New Zealand,Pakistan,Group A,
1,04-11-2023,Ahmedabad,England,Australia,Group A,
1,05-11-2023,Kolkata,India,South Africa,Group A,
1,06-11-2023,Delhi,Bangladesh,Sri Lanka,Group A,
1,07-11-2023,Mumbai,Australia,Afghanistan,Group A,
1,08-11-2023,Pune,England,Netherlands,Group A,
1,09-11-2023,Bengaluru,New Zealand,Sri Lanka,Group A,
1,10-11-2023,Ahmedabad,South Africa,Afghanistan,Group A,
1,11-11-2023,Bengaluru,India,Netherlands,Group A,
1,12-11-2023,Pune,Australia,Bangladesh,Group A,
1,12-11-2023,Kolkata,England,Pakistan,Group A,
Semi Finals,15-11-2023,Mumbai,1st Place,4th Place,,
Semi Finals,16-11-2023,Kolkata,2nd Place,3rd Place,,
Finals,19-11-2023,Ahmedabad,Winner of Semi- Final 1,Winner of Semi- Final 2,,
